Datetime,AAPL,GOOG,MSFT
2026-05-21 19:17:00+00:00,305.17010498046875,384.54400634765625,419.2550048828125
2026-05-21 19:18:00+00:00,305.2300109863281,384.6199951171875,419.3349914550781
2026-05-21 19:19:00+00:00,305.1600036621094,384.79998779296875,419.32501220703125
2026-05-21 19:20:00+00:00,305.135009765625,384.7099914550781,419.1000061035156
2026-05-21 19:21:00+00:00,305.0899963378906,384.5299987792969,419.07000732421875
2026-05-21 19:22:00+00:00,305.135009765625,384.4800109863281,419.114990234375
2026-05-21 19:23:00+00:00,305.0600891113281,384.4200134277344,419.05499267578125
2026-05-21 19:24:00+00:00,305.17999267578125,384.6700134277344,418.9700012207031
2026-05-21 19:25:00+00:00,305.1449890136719,384.7900085449219,418.9093933105469
2026-05-21 19:26:00+00:00,305.0849914550781,384.8699951171875,418.9200134277344
2026-05-21 19:27:00+00:00,305.114990234375,384.69500732421875,418.9100036621094
2026-05-21 19:28:00+00:00,305.19000244140625,385.0950012207031,419.0400085449219
2026-05-21 19:29:00+00:00,305.226806640625,385.0400085449219,418.95001220703125
2026-05-21 19:30:00+00:00,305.239990234375,385.1199951171875,418.80499267578125
2026-05-21 19:31:00+00:00,305.4849853515625,385.0199890136719,418.9150085449219
2026-05-21 19:32:00+00:00,305.4949951171875,384.7900085449219,419.0
2026-05-21 19:33:00+00:00,305.364990234375,384.635009765625,418.885009765625
2026-05-21 19:34:00+00:00,305.19500732421875,384.7200012207031,418.6400146484375
2026-05-21 19:35:00+00:00,305.17999267578125,384.69000244140625,418.82000732421875
2026-05-21 19:36:00+00:00,305.1700134277344,384.6600036621094,418.9136962890625
2026-05-21 19:37:00+00:00,305.1300048828125,384.375,418.7699890136719
2026-05-21 19:38:00+00:00,304.9649963378906,384.3399963378906,418.8599853515625
2026-05-21 19:39:00+00:00,305.1050109863281,384.55999755859375,418.8930969238281
2026-05-21 19:40:00+00:00,305.17999267578125,384.4700012207031,418.8851013183594
2026-05-21 19:41:00+00:00,305.0950012207031,384.3399963378906,418.8550109863281
2026-05-21 19:42:00+00:00,305.0849914550781,384.2650146484375,418.8299865722656
2026-05-21 19:43:00+00:00,305.05499267578125,384.4200134277344,419.0799865722656
2026-05-21 19:44:00+00:00,304.82000732421875,384.45001220703125,419.0199890136719
2026-05-21 19:45:00+00:00,304.8599853515625,384.44989013671875,419.0899963378906
2026-05-21 19:46:00+00:00,305.0350036621094,384.5700988769531,419.0299987792969
2026-05-21 19:47:00+00:00,305.0050048828125,384.5199890136719,418.9700012207031
2026-05-21 19:48:00+00:00,304.9949951171875,384.7200012207031,418.7749938964844
2026-05-21 19:49:00+00:00,304.95001220703125,384.739990234375,418.864990234375
2026-05-21 19:50:00+00:00,305.0799865722656,384.4700012207031,419.375
2026-05-21 19:51:00+00:00,305.0899963378906,384.260009765625,419.0899963378906
2026-05-21 19:52:00+00:00,305.0799865722656,384.2799987792969,419.2300109863281
2026-05-21 19:53:00+00:00,304.8800048828125,383.3500061035156,419.260009765625
2026-05-21 19:54:00+00:00,304.8800048828125,382.6300048828125,417.5899963378906
2026-05-21 19:55:00+00:00,304.7850036621094,382.4200134277344,418.9949951171875
2026-05-21 19:56:00+00:00,305.0899963378906,383.010009765625,419.2900085449219
2026-05-21 19:57:00+00:00,305.05499267578125,383.3399963378906,419.3599853515625
2026-05-21 19:58:00+00:00,305.0,383.3550109863281,419.4599914550781
2026-05-21 19:59:00+00:00,305.0899963378906,383.510009765625,419.0400085449219
